,SAKURA,EPYC 7742 x2,A100-SXM4 40GB x8,1024GB,SSD 2TB SSD14TB,??? 
,KEYAKI,EPYC 7742,A100-SXM 80GB x4,512GB,SSD 2TB SSD 7TB,???
,TSUBAKI,Xeon(R) Gold 6246R,Quadro RTX 8000 48GB x8,1500GB,SSD 2TB x2 HDD 7TB,???
,KARIN,Intel(R) Core(TM) i9-10900 CPU @ 2.80GHz,GeForce RTX 3090 24GB,64GB,SSD500GB HDD2TB,???
,MUKU,Xeon(R) Silver 4210R, GeForce RTX 3090 24GB x2,128GB,SSD500GB HDD2TB,???
,BEAR,Xeon Silver 4116 x2,Tesla V100-PCIE 32GB x4,196GB,SSD525GB,ベアーだクマー
,TIGER,Xeon E5-2630 v4 x2,Tesla K40c 12GB，Tesla P100-PCIE 16GB，Tesla V100-PCIE 32GB x2,256GB,SSD500GB,???
,HINTON,Xeon E5-1650 v4,GeForce GTX 1080ti 11GB，Quadro RTX 8000 48GB,256GB,SSD2TB,???
,RHUMBA,Xeon E5-1620 v4,GeForce GTX 1080ti 11GB x2,128GB,SSD480GB,???
,CHOCOBALL,Xeon X5680 8Cores 16Threads 3.10Ghz x2,GeForce GTX 1080ti 11GB x2,256GB,SSD480GB,www
,KAEDE,Core(TM) i7-9800X 8Cores 16Threads 3.80Ghz,GeForce RTX 2080ti 11GB x2,64GB,SSD500GB HDD2TB,???
,ICHO,Core(TM) i7-9800X 8Cores 16Threads 3.80Ghz,GeForce RTX 2080ti 11GB x2,64GB,SSD500GB HDD3TB x2,???
